City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,kuta,-8.7233,115.1723,28.97,79,20,8.94,ID,1706010319
332,mukalla,14.5425,49.1242,29.75,38,32,4.62,YE,1706010319
333,champerico,14.3,-91.9167,23.16,73,71,1.8,GT,1706010320
334,kavieng,-2.5744,150.7967,27.94,79,100,4.11,PG,1706010320
335,veraval,20.9,70.3667,25.02,48,6,5.02,IN,1706010321
336,tanabe,33.7333,135.3667,3.35,65,90,12.84,JP,1706010322
337,ceeldheer,3.8488,47.1806,30.71,55,21,11.54,SO,1706010322
338,bilyts'ke,48.4064,37.1811,-3.24,56,77,4.54,UA,1706010323
339,velur,12.9333,79.1333,28.38,52,7,2.99,IN,1706010324
340,uray,60.1247,64.7758,-12.85,89,74,4.02,RU,1706010324
341,christchurch,-43.5333,172.6333,10.51,89,75,2.57,NZ,1706009972
342,turtas,58.9417,69.1325,-18.49,94,6,2.85,RU,1706010325
343,hafar al-batin,28.4328,45.9708,30.32,19,0,7.2,SA,1706010326
344,novyy urgal,51.0736,132.5642,-32.02,99,81,0.41,RU,1706010190
345,metkovic,43.0542,17.6483,9.26,63,100,1.08,HR,1706010327
346,mata-utu,-13.2816,-176.1745,28.81,77,51,3.53,WF,1706010328
347,mabaruma,8.2,-59.7833,24.39,91,63,2.24,GY,1706010328
348,trairi,-3.2778,-39.2689,29.06,71,23,3.16,BR,1706010209
349,kabare,-2.4683,28.8242,24.35,51,78,0.61,CD,1706010330
350,benguela,-12.5763,13.4055,28.94,66,90,4.85,AO,1706010331
351,mccomb,31.2438,-90.4531,13.93,100,100,2.06,US,1706010331
352,ascension,30.2169,-90.9001,16.12,99,100,2.06,US,1706010333
353,nelson bay,-32.7167,152.15,22.78,84,27,4.47,AU,1706010333
354,jabor,5.921,169.6434,27.85,84,23,8.43,MH,1706010334
355,glace bay,46.1969,-59.957,0.99,76,100,8.23,CA,1706010334
356,flin flon,54.7682,-101.865,-18.53,96,96,3.74,CA,1706010335
357,sohagpur,22.7,78.2,21.19,24,0,1.74,IN,1706010336
358,saint-denis,48.9167,2.3333,9.77,90,75,5.14,FR,1706010336
359,ponta delgada,37.7333,-25.6667,18.44,77,20,8.23,PT,1706010337
